UpazName,UpazGeoCod,EmplydMale,EmplydFeml,7PlsNASBoth,7PlsNASMale,7PlsNASFeml,LokWrkMale,LokWrkFeml,HHWorkMale,HHWrkMaFem,DntWrkMale,DntWrkFeml
Amtali,10040009,8687,619,25805,11404,14402,244,72,507,10823,1965,2888
Bamna,10040019,2812,133,9112,3934,5178,30,10,317,3836,775,1199
Barguna Sadar,10040028,10984,852,34211,15072,19139,237,63,1149,13732,2702,4492
Betagi,10040047,5485,370,19172,8066,11106,86,35,822,8215,1673,2486
Patharghata,10040085,5671,339,16281,7651,8630,110,40,339,5972,1531,2279
Taltali,10040090,7876,561,23395,10338,13056,221,65,460,9811,1782,2619
Agailjhara,10060002,6818,613,22906,9283,13623,55,31,299,9402,2111,3577
Babuganj,10060003,7194,288,21198,9425,11773,55,28,225,8471,1951,2986
Bakerganj,10060007,18080,802,54560,23808,30752,315,82,654,22971,4759,6897
Banaripara,10060010,6213,423,18905,8277,10628,83,26,217,7404,1764,2775
Gaurnadi,10060032,11815,544,35993,15752,20241,103,48,421,14756,3413,4893
Hijla,10060036,15681,686,38058,19594,18464,175,65,276,14664,3462,3049
Barishal Sadar (Kotwali),10060051,19814,3108,56125,26279,29846,337,103,587,18958,5540,7676
Mehendiganj,10060062,27916,1241,68318,34955,33363,313,144,485,25112,6241,6866
Muladi,10060069,13669,989,39344,17764,21580,168,91,325,16457,3602,4043
Ujirpur,10060094,11592,670,35335,15044,20291,90,47,227,14317,3135,5257
Barishal Sadar (Kotwali),10065051,4773,749,13519,6330,7189,81,25,142,4567,1335,1849
Bhola Sadar,10090018,49771,1860,125761,62554,63207,554,233,525,49408,11704,11706
Borhanuddin,10090021,26109,1434,70562,32938,37624,297,141,493,29183,6039,6866
Charfasson,10090025,52815,1967,135428,67379,68049,1042,266,903,52943,12619,12873
Daulatkhan,10090029,18719,897,48127,23357,24770,226,101,260,19049,4152,4723
Lalmohan,10090054,34347,1751,94154,43619,50535,667,274,808,39727,7797,8783
Monpura,10090065,10636,360,26611,13511,13100,196,46,134,10429,2545,2265
Tazumuddin,10090091,15528,885,38035,18914,19121,216,103,233,15318,2937,2815
Jhalokathi Sadar,10420040,8797,590,27510,12374,15136,126,48,283,9927,3168,4571
Kanthalia,10420043,5083,307,15833,7039,8794,89,34,312,6271,1555,2182
Nalchhity,10420073,8308,483,25738,11417,14321,172,40,397,10456,2540,3342
Rajapur,10420084,5111,378,16760,7230,9530,48,34,471,6985,1600,2133
Bauphal,10780038,20664,1358,62601,26735,35866,350,104,764,27508,4957,6896
Dashmina,10780052,10933,1025,32608,14007,18601,207,39,518,14239,2349,3298
Dumki,10780055,2837,112,9429,3873,5556,56,13,149,4182,831,1249
Galachipa,10780057,13866,1253,38020,17871,20149,156,60,576,14722,3273,4113
Kalapara,10780066,16707,1081,43178,20901,22277,262,64,555,16987,3377,4145
Mirzaganj,10780076,5611,356,18276,7476,10800,114,30,353,8150,1398,2264
Patuakhali Sadar,10780095,17435,1749,54990,23162,31828,270,113,912,22907,4545,7059
Rangabali,10780097,18060,1631,49520,23277,26243,204,79,750,19176,4263,5358
Bhandaria,10790014,6097,305,18007,8542,9465,117,27,466,6642,1862,2491
Kawkhali,10790047,2210,240,6371,3026,3345,17,8,117,2209,682,888
Mathbaria,10790058,8604,678,28260,13560,14700,260,50,1658,10023,3038,3949
Nazirpur,10790076,9406,542,26755,12552,14203,87,40,337,9738,2722,3883
Pirojpur Sadar,10790080,5754,494,17150,8009,9141,90,22,230,5867,1935,2758
Nesarabad (Swarupkathi),10790087,6220,604,19171,8626,10545,56,20,170,6447,2180,3474
Indurkani,10790090,3855,238,10976,5419,5557,62,11,305,3998,1197,1310
Alikadam,20030004,8089,3916,20872,10032,10840,217,80,446,5259,1280,1585
Bandarban Sadar,20030014,10565,3295,27389,12925,14464,144,103,234,8515,1982,2551
Lama,20030051,15266,3427,40092,19236,20856,274,130,768,13815,2928,3484
Naikkhongchhari,20030073,9180,966,24965,11861,13104,261,81,381,9843,2039,2214
Rowangchhari,20030089,5193,3550,13125,6020,7105,28,24,211,2832,588,699
Ruma,20030091,6005,3880,15335,7425,7910,56,38,457,3030,907,962
Thanchi,20030095,4884,2945,11536,5453,6083,32,41,73,2559,464,538
Akhaura,20120002,10737,579,33905,15215,18690,188,88,210,13435,4080,4588
Banchharampur,20120004,32840,1686,105605,44664,60941,540,122,2017,49178,9267,9955
Bijoynagar,20120007,30093,1480,85109,39519,45590,434,101,1062,36055,7930,7954
Brahmanbaria Sadar,20120013,38598,3247,124735,58802,65933,709,197,5270,47697,14225,14792
Ashuganj,20120033,15749,2758,47648,21673,25975,287,74,485,17230,5152,5913
Kasba,20120063,24676,1643,79144,35397,43747,615,105,1863,32682,8243,9317
Nabinagar,20120085,45969,3265,145877,65036,80841,899,221,3757,62113,14411,15242
Nasirnagar,20120090,38810,2601,115154,52943,62211,696,203,3964,48692,9473,10715
Sarail,20120094,34548,3973,105286,47268,58018,664,243,1470,42356,10586,11446
Chandpur Sadar,20130022,31886,2036,90881,43301,47580,455,165,500,33807,10460,11572
Faridganj,20130045,20661,817,68239,30056,38183,452,84,724,28098,8219,9184
Haimchar,20130047,9833,530,26525,12459,14066,119,54,165,10903,2342,2579
Hajiganj,20130049,18421,684,57433,26314,31119,316,74,483,21996,7094,8365
Kachua,20130058,29141,1598,87681,39834,47847,433,139,998,35895,9262,10215
Matlab Dakkhin,20130076,14476,617,44352,18937,25415,184,55,299,19194,3978,5549
Matlab Uttar,20130079,21735,841,63036,27324,35712,180,55,248,27476,5161,7340
Shahrasti,20130095,12252,428,38338,17456,20882,211,27,280,14194,4713,6233
Anwara,20150004,19072,1078,66021,27734,38287,487,120,1117,28603,7058,8486
Banshkhali,20150008,47121,4406,146100,67519,78581,1884,436,3337,57324,15177,16415
Boalkhali,20150012,9857,746,35651,14586,21065,275,74,646,14782,3808,5463
Chandanaish,20150018,18811,1561,52297,24271,28026,290,107,692,20224,4478,6134
Fatikchhari,20150033,38646,6702,127517,56327,71190,1041,324,4380,48784,12260,15380
Hathazari,20150037,17227,2110,62827,26551,36276,436,81,1007,23209,7881,10876
Karnaphuli,20150039,5467,423,17718,7586,10131,101,27,255,7180,1763,2501
Lohagara,20150047,16896,1695,58549,25041,33508,634,168,1304,23971,6207,7674
Mirsarai,20150053,27619,1522,91841,36917,54924,675,164,1081,42619,7542,10619
Patiya,20150061,27342,2114,88609,37941,50669,504,137,1275,35910,8820,12508
